trade_id;account_id;client_document;date;ticker;side;quantity;broker_fee;tax;currency;price;source_file;invalid_reason
T1000083;A0003;CPF 123;2026-02-07;BOVA11;Compra;1500;25,00;0.10;BRL;;transactions_20260211.csv;invalid_document
T1000119;A0044;751.816.144-34;05-02-2026;ABEV3;BUY;0;0,38;1.1;BRL;;transactions_20260211.csv;invalid_quantity
T1000100;A0161;;04-02-2026;BOVA11;BUY;100;2;7.5;BRL;;transactions_20260211.csv;invalid_document
T1000143;A0177;Documento 378.014.077-25;06-02-2026;PETR4;BUYSELL;250;2.75;0;BRL;;transactions_20260211.csv;invalid_side
T1000084;A0117;CNPJ 13.264.411/0458-22;04-02-2026;ITUB4;Venda;250;1;12,3,4;BRL;;transactions_20260211.csv;invalid_number
T1000123;A0269;CNPJ 12.345;03-02-2026;BBAS3;S;1000,0;0;1;BRL;;transactions_20260211.csv;invalid_document
T1000234;A0158;Documento 275.238.573-02;;WEGE3;VENDA;25,00;1,5;3,25;BRL;;transactions_20260212.csv;invalid_date
T1000202;A0119;CPF: 458.719.022-51;07-02-2026;BOVA11;VENDA;25;10,00;-0,10;BRL;;transactions_20260212.csv;invalid_costs
T1000232;A0264;cpf 75128923819;07/02/2026;ABEV3;B;-1,000;0.38;0;BRL;;transactions_20260212.csv;invalid_quantity
T1000244;A0370;67237955209;2026-02-07;VALE3;X;100,00;25.0;0,0;BRL;;transactions_20260212.csv;invalid_side
T1000197;A0061;;2026-02-06;ITUB4;SELL;1,0;25;1,1;BRL;;transactions_20260212.csv;invalid_document
T1000214;A0056;CPF: 079.697.891-37;03-02-2026;ITUB4;Compra;100;25,00;-0,10;BRL;;transactions_20260212.csv;invalid_costs
T1000168;A0014;Documento 523.301.217-09;2026-02-04;PETR4;buy;-1.000;1;0.38;BRL;;transactions_20260212.csv;invalid_quantity
T1000228;A0300;0000000;2026-02-03;ITUB4;Compra;250;0,38;3.25;BRL;;transactions_20260212.csv;invalid_document
T1000199;A0228;CPF: 665.604.692-47;03-02-2026;ITUB4;sell;;10;0;BRL;;transactions_20260212.csv;invalid_number
T1000315;A0352;Documento 471.675.009-41;03-02-2026;VALE3;S;250.00;0,0;-0,10;BRL;;transactions_20260213.csv;invalid_costs
T1000319;A0151;38838247803;05/02/2026;VALE3;BUYSELL;1.000,00;0,00;7,5;BRL;;transactions_20260213.csv;invalid_side
T1000288;A0157;Documento 707.261.232-77;2026/02/03;PETR4;S;10;1.50;;BRL;;transactions_20260213.csv;invalid_number
T1000286;A0373;CNPJ 74.367.136/9594-86;2026-02-05;VALE3;;250,0;25,00;7;BRL;;transactions_20260213.csv;invalid_side
T1000297;A0085;653.180.823-35;2026-02-06;ABEV3;HOLD;250;25;3,25;BRL;;transactions_20260213.csv;invalid_side
T1000260;A0038;32455621653540;2026-02-07;WEGE3;SELL;5,00;2;-7.50;BRL;;transactions_20260213.csv;invalid_costs
T1000312;A0145;cpf 68551924753;2026-02-03;PETR4;buy;1.500;;1,10;BRL;;transactions_20260213.csv;invalid_number
T1000275;A0030;cpf 94278248407;2026-02-06;WEGE3;BUY;12,3,4;0;0.1;BRL;;transactions_20260213.csv;invalid_number
T1000396;A0356;60.652.374/0202-20;2026-02-06;ITUB4;BUY;-1,000;25;0.38;BRL;;transactions_20260214.csv;invalid_quantity
T1000428;A0182;CPF 123;2026/02/04;ABEV3;COMPRA;10.00;1;0.38;BRL;;transactions_20260214.csv;invalid_document
T1000373;A0393;;03/02/2026;PETR4;compra;1000;0;7.5;BRL;;transactions_20260214.csv;invalid_document
T1000363;A0199;Documento 731.733.431-66;07-02-2026;VALE3;COMPRA;100,00;2.75;;BRL;;transactions_20260214.csv;invalid_number
T1000378;A0069;CPF 123;2026-02-06;VALE3;Venda;1;0;1,10;BRL;;transactions_20260214.csv;invalid_document
T1000449;A0258;Documento 937.416.720-41;06/02/2026;PETR4;S;-1.000;1.50;7,50;BRL;;transactions_20260215.csv;invalid_quantity
T1000467;A0357;17.805.791/0870-63;31/02/2026;PETR4;compra;1.000;0,38;1,10;BRL;;transactions_20260215.csv;invalid_date
T1000510;A0277;;2026-02-06;VALE3;SELL;1.500;0,0;3.25;BRL;;transactions_20260215.csv;invalid_document
T1000461;A0181;482.119.262-45;07/02/2026;WEGE3;SELL;10;2;;BRL;;transactions_20260215.csv;invalid_number
T1000445;A0037;68015564603;05/02/2026;BBAS3;;1;0,00;0,00;BRL;;transactions_20260215.csv;invalid_side
T1000508;A0040;CNPJ 17.027.461/8597-55;2026/02/05;PETR4;venda;100;0,38;;BRL;;transactions_20260215.csv;invalid_number
T1000486;A0168;CNPJ 12.345;05-02-2026;VALE3;BUY;1,500.00;25;0,00;BRL;;transactions_20260215.csv;invalid_document
T1000493;A0053;74140457813;2026-02-05;PETR4;BUY;-1.000;10.0;0,38;BRL;;transactions_20260215.csv;invalid_quantity
T1000560;A0179;cpf 98559547851;07-02-2026;BOVA11;Venda;-10;0;3,25;BRL;;transactions_20260216.csv;invalid_quantity
T1000537;A0238;40.390.534/6720-20;07-02-2026;BBAS3;;1.000;2,75;0.00;BRL;;transactions_20260216.csv;invalid_side
T1000585;A0151;448.274.528-65;07/02/2026;VALE3;Compra;25,00;;3,25;BRL;;transactions_20260216.csv;invalid_number
T1000555;A0327;;2026/02/06;PETR4;sell;250,00;25,00;1.1;BRL;;transactions_20260216.csv;invalid_document
T1000550;A0311;08781318678700;;ABEV3;SELL;10,00;10,00;3,25;BRL;;transactions_20260216.csv;invalid_date
T1000588;A0368;CNPJ 92.145.488/6567-35;2026-02-07;VALE3;compra;100;1,5;abc;BRL;;transactions_20260216.csv;invalid_number
T1000570;A0367;20755547306;2026-02-06;BOVA11;;250,00;2;0.38;BRL;;transactions_20260216.csv;invalid_side
T1000596;A0044;66884438895594;;VALE3;COMPRA;5;2.75;0,10;BRL;;transactions_20260216.csv;invalid_date
T1000594;A0155;736.586.819-85;2026/02/07;BOVA11;HOLD;1,500.00;2;0,0;BRL;;transactions_20260216.csv;invalid_side
T1000597;A0313;CPF: 236.323.688-21;06-02-2026;ABEV3;B;;0,38;3,25;BRL;;transactions_20260216.csv;invalid_number
T1000548;A0218;17.511.889/9683-90;2026/00/10;PETR4;venda;1500;0;1,1;BRL;;transactions_20260216.csv;invalid_date
T1000668;A0107;88.041.170/6108-26;07/02/2026;BBAS3;S;;2,75;3;BRL;;transactions_20260217.csv;invalid_number
T1000679;A0244;055.875.504-60;2026/02/03;BBAS3;SELL;25,00;0,0;-0,10;BRL;;transactions_20260217.csv;invalid_costs
T1000681;A0039;;05/02/2026;WEGE3;SELL;1.000,00;0,00;0.38;BRL;;transactions_20260217.csv;invalid_document
T1000625;A0373;CPF: 120.939.317-45;;ABEV3;S;1,000.00;2.75;7;BRL;;transactions_20260217.csv;invalid_date
T1000627;A0010;14830447850;2026-02-05;PETR4;BUYSELL;250,00;1,5;0,00;BRL;;transactions_20260217.csv;invalid_side
T1000647;A0219;CNPJ 74.367.136/9594-86;2026/02/05;ABEV3;BUY;;25.00;0,10;BRL;;transactions_20260217.csv;invalid_number
T1000643;A0191;27844907300669;07/02/2026;PETR4;buy;0;0.38;0;BRL;;transactions_20260217.csv;invalid_quantity
T1000687;A0036;13596875480;07/02/2026;BBAS3;sell;5,00;25.00;-7.50;BRL;;transactions_20260217.csv;invalid_costs
T1000654;A0245;cnpj: 42236985256918;;PETR4;SELL;1.500,00;2,75;7,5;BRL;;transactions_20260217.csv;invalid_date
T1000644;A0123;70.744.220/2750-40;2026-02-03;WEGE3;BUYSELL;100.00;10;0,38;BRL;;transactions_20260217.csv;invalid_side
T1000653;A0318;24038609395201;2026-02-06;ABEV3;sell;1..234;1,50;0,38;BRL;;transactions_20260217.csv;invalid_number
T1000658;A0113;09220945789;07/02/2026;VALE3;COMPRA;1;-0,10;0,38;BRL;;transactions_20260217.csv;invalid_costs
T1000742;A0333;CNPJ 74.367.136/9594-86;2026-02-03;ABEV3;SELL;1,500.00;0.38;-7.50;BRL;;transactions_20260218.csv;invalid_costs
T1000765;A0061;07400662341;2026-02-03;PETR4;;10,0;2,75;7,5;BRL;;transactions_20260218.csv;invalid_side
T1000728;A0297;70.878.621/4139-08;2026-02-04;VALE3;Venda;abc;1,50;1.10;BRL;;transactions_20260218.csv;invalid_number
T1000733;A0400;Documento: -;05/02/2026;ABEV3;COMPRA;1.000;0,00;3,25;BRL;;transactions_20260218.csv;invalid_document
T1000718;A0304;CNPJ 03040065900737;;VALE3;Venda;250;2.75;1;BRL;;transactions_20260218.csv;invalid_date
T1000838;A0313;54706680021866;07/02/2026;WEGE3;BUYSELL;100;0,0;3;BRL;;transactions_20260219.csv;invalid_side
T1000786;A0377;59608185966417;2026-02-07;VALE3;VENDA;1.000;abc;7,5;BRL;;transactions_20260219.csv;invalid_number
T1000850;A0273;Documento: -;05/02/2026;ABEV3;S;25,00;25;0;BRL;;transactions_20260219.csv;invalid_document
T1000844;A0346;41.973.592/2415-79;2026-02-04;BOVA11;BUYSELL;10,00;1.5;1.1;BRL;;transactions_20260219.csv;invalid_side
T1000827;A0029;240.776.023-94;2026-02-06;BBAS3;BUY;-1.000;10;0;BRL;;transactions_20260219.csv;invalid_quantity
T1000823;A0206;ABC123;2026-02-05;VALE3;compra;250.00;2;3.25;BRL;;transactions_20260219.csv;invalid_document
T1000841;A0334;50.622.781/4700-07;2026-02-06;PETR4;Compra;-10;0;7;BRL;;transactions_20260219.csv;invalid_quantity
T1000845;A0258;cpf 95184620389;2026-02-03;BOVA11;COMPRA;0;1.5;1.1;BRL;;transactions_20260219.csv;invalid_quantity
T1000843;A0074;Documento: -;06/02/2026;PETR4;SELL;10;10,0;1;BRL;;transactions_20260219.csv;invalid_document
T1000831;A0272;CNPJ 74.367.136/9594-86;2026-02-04;ABEV3;VENDA;1000;-7.50;0,1;BRL;;transactions_20260219.csv;invalid_costs
T1000819;A0086;cpf 87203023982;03/02/2026;VALE3;buy;;2,75;0,10;BRL;;transactions_20260219.csv;invalid_number
T1000807;A0231;;2026/02/03;VALE3;SELL;1,000;25,00;0.00;BRL;;transactions_20260219.csv;invalid_document
T1000559;A0317;09678810808;2026-13-01;PETR4;Compra;5;2,75;1,1;BRL;;transactions_20260216.csv;invalid_price
T1000538;A0334;813.177.320-57;2026-13-01;ITUB4;venda;1,00;0;7,50;BRL;;transactions_20260216.csv;invalid_price
